time;V(2)
2.000000000;0.983741116
2.000022676;0.435020646
2.000045351;0.504613868
2.000068027;1.626920089
2.000090703;0.464479340
2.000113379;1.259026903
2.000136054;1.111264871
2.000158730;0.398656224
2.000181406;6.256458598
2.000204082;1.685678756
2.000226757;0.100859916
2.000249433;0.099316615
2.000272109;0.098031944
2.000294785;0.096934526
2.000317460;0.096001661
2.000340136;0.095207209
2.000362812;0.094530995
2.000385488;0.093957278
2.000408163;0.093473680
2.000430839;0.093070433
2.000453515;0.092739841
2.000476190;0.092475893
2.000498866;0.092266076
2.000521542;0.092125221
2.000544218;0.092040431
2.000566893;0.092017154
2.000589569;0.092028676
2.000612245;0.092113560
2.000634921;0.092248459
2.000657596;0.092441646
2.000680272;0.092687609
2.000702948;0.093006447
2.000725624;0.093397159
2.000748299;0.093867243
2.000770975;0.094426223
2.000793651;0.095086185
2.000816327;0.095862492
2.000839002;0.096774837
2.000861678;0.097848731
2.000884354;0.099117760
2.000907029;0.100627027
2.000929705;0.102438681
2.000952381;0.104641248
2.000975057;0.107366295
2.000997732;0.110820850
2.001020408;0.115357429
2.001043084;0.121650479
2.001065760;0.131261125
2.001088435;0.149449584
2.001111111;0.338627877
2.001133787;0.979379511
2.001156463;1.008535124
2.001179138;1.021892806
2.001201814;1.030559867
2.001224490;1.036921580
2.001247166;1.041911518
2.001269841;1.045981956
2.001292517;1.049389308
2.001315193;1.052292942
2.001337868;1.054798638
2.001360544;1.056980161
2.001383220;1.058890960
2.001405896;1.060570929
2.001428571;1.062048964
2.001451247;1.063352336
2.001473923;1.064497959
2.001496599;1.065500905
2.001519274;1.066373338
2.001541950;1.067125118
2.001564626;1.067764233
2.001587302;1.068297135
2.001609977;1.068728971
2.001632653;1.069063759
2.001655329;1.069304531
2.001678005;1.069453414
2.001700680;1.069511700
2.001723356;1.069479878
2.001746032;1.069357658
2.001768707;1.069143947
2.001791383;1.068836834
2.001814059;1.068433526
2.001836735;1.067930259
2.001859410;1.067322189
2.001882086;1.066603223
2.001904762;1.065765784
2.001927438;1.064800535
2.001950113;1.063695957
2.001972789;1.062437793
2.001995465;1.061008283
2.002018141;1.059385060
2.002040816;1.057537132
2.002063492;1.055431594
2.002086168;1.053016978
2.002108844;1.050225522
2.002131519;1.046961083
2.002154195;1.043080779
2.002176871;1.038358899
2.002199546;1.032407377
2.002222222;1.024470061
2.002244898;1.012718434
2.002267574;0.990384280
2.002290249;0.650203163
2.002312925;0.157767961
2.002335601;0.134611324
2.002358277;0.123632791
2.002380952;0.116705869
2.002403628;0.111804908
2.002426304;0.108113419
2.002448980;0.105222079
2.002471655;0.102896430
2.002494331;0.100989983
2.002517007;0.099405394
2.002539683;0.098074942
2.002562358;0.096958405
2.002585034;0.096001113
2.002607710;0.095185930
2.002630385;0.094491782
2.002653061;0.093902245
2.002675737;0.093404415
2.002698413;0.092988109
2.002721088;0.092645293
2.002743764;0.092369678
2.002766440;0.092156410
2.002789116;0.091995791
2.002811791;0.091899733
2.002834467;0.091858085
2.002857143;0.091866961
2.002879819;0.091936367
2.002902494;0.092057586
2.002925170;0.092235938
2.002947846;0.092474436
2.002970522;0.092766851
2.002993197;0.093137416
2.003015873;0.093584747
2.003038549;0.094117767
2.003061224;0.094747797
2.003083900;0.095489211
2.003106576;0.096360381
2.003129252;0.097385026
2.003151927;0.098594226
2.003174603;0.100029465
2.003197279;0.101747477
2.003219955;0.103828273
2.003242630;0.106389264
2.003265306;0.109612014
2.003287982;0.113798209
2.003310658;0.119504026
2.003333333;0.127938427
2.003356009;0.142637137
2.003378685;0.190909997
2.003401361;0.957689234
2.003424036;1.002789558
2.003446712;1.018507502
2.003469388;1.028123570
2.003492063;1.034997036
2.003514739;1.040309219
2.003537415;1.044601867
2.003560091;1.048172289
2.003582766;1.051201157
2.003605442;1.053806442
2.003628118;1.056069390
2.003650794;1.058048288
2.003673469;1.059786312
2.003696145;1.061314585
2.003718821;1.062662224
2.003741497;1.063847278
2.003764172;1.064885770
2.003786848;1.065790602
2.003809524;1.066572214
2.003832200;1.067239073
2.003854875;1.067798016
2.003877551;1.068254519
2.003900227;1.068612882
2.003922902;1.068876382
2.003945578;1.069047364
2.003968254;1.069127315
2.003990930;1.069116916
2.004013605;1.069016050
2.004036281;1.068823803
2.004058957;1.068538446
2.004081633;1.068157366
2.004104308;1.067677005
2.004126984;1.067092741
2.004149660;1.066398733
2.004172336;1.065587700
2.004195011;1.064650662
2.004217687;1.063576533
2.004240363;1.062351609
2.004263039;1.060958832
2.004285714;1.059376771
2.004308390;1.057575791
2.004331066;1.055524609
2.004353741;1.053174401
2.004376417;1.050461282
2.004399093;1.047295254
2.004421769;1.043543802
2.004444444;1.039000169
2.004467120;1.033315073
2.004489796;1.025825958
2.004512472;1.015005026
2.004535147;0.995809838
2.004557823;0.857432259
2.004580499;0.166218853
2.004603175;0.137302815
2.004625850;0.125101506
2.004648526;0.117646347
2.004671202;0.112456677
2.004693878;0.108584698
2.004716553;0.105570938
2.004739229;0.103157476
2.004761905;0.101185378
2.004784580;0.099550083
2.004807256;0.098179409
2.004829932;0.097030647
2.004852608;0.096046209
2.004875283;0.095208090
2.004897959;0.094494201
2.004920635;0.093887361
2.004943311;0.093374084
2.004965986;0.092943736
2.004988662;0.092587919
2.005011338;0.092300040
2.005034014;0.092074988
2.005056689;0.091902263
2.005079365;0.091794774
2.005102041;0.091741536
2.005124717;0.091741389
2.005147392;0.091795404
2.005170068;0.091903415
2.005192744;0.092067569
2.005215420;0.092290638
2.005238095;0.092566475
2.005260771;0.092918173
2.005283447;0.093344303
2.005306122;0.093853244
2.005328798;0.094455626
2.005351474;0.095164931
2.005374150;0.095998347
2.005396825;0.096978002
2.005419501;0.098132755
2.005442177;0.099500928
2.005464853;0.101134562
2.005487528;0.103106396
2.005510204;0.105521935
2.005532880;0.108541839
2.005555556;0.112427356
2.005578231;0.117644989
2.005600907;0.125169984
2.005623583;0.137498583
2.005646259;0.167287650
2.005668934;0.872059732
2.005691610;0.995917678
2.005714286;1.014880189
2.005736961;1.025623995
2.005759637;1.033083271
2.005782313;1.038746214
2.005804989;1.043275767
2.005827664;1.047017570
2.005850340;1.050176696
2.005873016;1.052884758
2.005895692;1.055231221
2.005918367;1.057279636
2.005941043;1.059076696
2.005963719;1.060655885
2.005986395;1.062048267
2.006009070;1.063273087
2.006031746;1.064347354
2.006054422;1.065284732
2.006077098;1.066096264
2.006099773;1.066790906
2.006122449;1.067375890
2.006145125;1.067857031
2.006167800;1.068238916
2.006190476;1.068525062
2.006213152;1.068718040
2.006235828;1.068819542
2.006258503;1.068830435
2.006281179;1.068750787
2.006303855;1.068579854
2.006326531;1.068316094
2.006349206;1.067957083
2.006371882;1.067499466
2.006394558;1.066938847
2.006417234;1.066269632
2.006439909;1.065484851
2.006462585;1.064575874
2.006485261;1.063532051
2.006507937;1.062340226
2.006530612;1.060984044
2.006553288;1.059442999
2.006575964;1.057688793
2.006598639;1.055691728
2.006621315;1.053405550
2.006643991;1.050770122
2.006666667;1.047701317
2.006689342;1.044076397
2.006712018;1.039706192
2.006734694;1.034276558
2.006757370;1.027206720
2.006780045;1.017215219
2.006802721;1.000470134
2.006825397;0.943367366
2.006848073;0.179801004
2.006870748;0.140594271
2.006893424;0.126835024
2.006916100;0.118736922
2.006938776;0.113214794
2.006961451;0.109138688
2.006984127;0.105987966
2.007006803;0.103476957
2.007029478;0.101432289
2.007052154;0.099741162
2.007074830;0.098326329
2.007097506;0.097142259
2.007120181;0.096128211
2.007142857;0.095265162
2.007165533;0.094529908
2.007188209;0.093904439
2.007210884;0.093374635
2.007233560;0.092929371
2.007256236;0.092559856
2.007278912;0.092259176
2.007301587;0.092021947
2.007324263;0.091836848
2.007346939;0.091717793
2.007369615;0.091652951
2.007392290;0.091643938
2.007414966;0.091682743
2.007437642;0.091777909
2.007460317;0.091928369
2.007482993;0.092136659
2.007505669;0.092396766
2.007528345;0.092730616
2.007551020;0.093136794
2.007573696;0.093623177
2.007596372;0.094199762
2.007619048;0.094879219
2.007641723;0.095677665
2.007664399;0.096615796
2.007687075;0.097720497
2.007709751;0.099027282
2.007732426;0.100584079
2.007755102;0.102457327
2.007777778;0.104742389
2.007800454;0.107582453
2.007823129;0.111205945
2.007845805;0.116009495
2.007868481;0.122775249
2.007891156;0.133413435
2.007913832;0.155276885
2.007936508;0.576968432
2.007959184;0.987086419
2.007981859;1.010889895
2.008004535;1.023021671
2.008027211;1.031141592
2.008049887;1.037190658
2.008072562;1.041975153
2.008095238;1.045898559
2.008117914;1.049194175
2.008140590;1.052009030
2.008163265;1.054441714
2.008185941;1.056561520
2.008208617;1.058418953
2.008231293;1.060050035
2.008253968;1.061487878
2.008276644;1.062753001
2.008299320;1.063863441
2.008321995;1.064833662
2.008344671;1.065675335
2.008367347;1.066397910
2.008390023;1.067009039
2.008412698;1.067514873
2.008435374;1.067920295
2.008458050;1.068229080
2.008480726;1.068444021
2.008503401;1.068567013
2.008526077;1.068599116
2.008548753;1.068540574
2.008571429;1.068390840
2.008594104;1.068148540
2.008616780;1.067811445
2.008639456;1.067376404
2.008662132;1.066839243
2.008684807;1.066194629
2.008707483;1.065435883
2.008730159;1.064554732
2.008752834;1.063540957
2.008775510;1.062381940
2.008798186;1.061062019
2.008820862;1.059561582
2.008843537;1.057855792
2.008866213;1.055910020
2.008888889;1.053686938
2.008911565;1.051127818
2.008934240;1.048154071
2.008956916;1.044652058
2.008979592;1.040448713
2.009002268;1.035261330
2.009024943;1.028579830
2.009047619;1.019323457
2.009070295;1.004517523
2.009092971;0.966734959
2.009115646;0.209890845
2.009138322;1.188427018
2.009160998;0.295234799
2.009183673;107.806641522
2.009206349;1.082987933
2.009229025;0.109791126
2.009251701;0.106478975
2.009274376;0.103859869
2.009297052;0.101735198
2.009319728;0.099982733
2.009342404;0.098519540
2.009365079;0.097286993
2.009387755;0.096250536
2.009410431;0.095360425
2.009433107;0.094602050
2.009455782;0.093956503
2.009478458;0.093408983
2.009501134;0.092947830
2.009523810;0.092563830
2.009546485;0.092249723
2.009569161;0.091999840
2.009591837;0.091802033
2.009614512;0.091671194
2.009637188;0.091594662
2.009659864;0.091576857
2.009682540;0.091593357
2.009705215;0.091683198
2.009727891;0.091820355
2.009750567;0.092014432
2.009773243;0.092259553
2.009795918;0.092576469
2.009818594;0.092963818
2.009841270;0.093429013
2.009863946;0.093981469
2.009886621;0.094633109
2.009909297;0.095399084
2.009931973;0.096298788
2.009954649;0.097357329
2.009977324;0.098607721
2.010000000;0.100094250
2.010022676;0.101877851
2.010045351;0.104045137
2.010068027;0.106724518
2.010090703;0.110117318
2.010113379;0.114564588
2.010136054;0.120713662
2.010158730;0.130042050
2.010181406;0.147366226
2.010204082;0.271383506
2.010226757;0.974456547
2.010249433;1.006403639
2.010272109;1.020286526
2.010294785;1.029170392
2.010317460;1.035647460
2.010340136;1.040707636
2.010362812;1.044824181
2.010385488;1.048263259
2.010408163;1.051189380
2.010430839;1.053711287
2.010453515;1.055904582
2.010476190;1.057823884
2.010498866;1.059509904
2.010521542;1.060992069
2.010544218;1.062298103
2.010566893;1.063445177
2.010589569;1.064448581
2.010612245;1.065320642
2.010634921;1.066071328
2.010657596;1.066708715
2.010680272;1.067239306
2.010702948;1.067668285
2.010725624;1.067999681
2.010748299;1.068236521
2.010770975;1.068380907
2.010793651;1.068434095
2.010816327;1.068396511
2.010839002;1.068267789
2.010861678;1.068046739
2.010884354;1.067731324
2.010907029;1.067318594
2.010929705;1.066804601
2.010952381;1.066184271
2.010975057;1.065451211
2.010997732;1.064597499
2.011020408;1.063613346
2.011043084;1.062486655
2.011065760;1.061202438
2.011088435;1.059741960
2.011111111;1.058081555
2.011133787;1.056188318
2.011156463;1.054027017
2.011179138;1.051542389
2.011201814;1.048661019
2.011224490;1.045277699
2.011247166;1.041234027
2.011269841;1.036275303
2.011292517;1.029952424
2.011315193;1.021348594
2.011337868;1.008115096
2.011360544;0.979507531
2.011383220;0.367726058
2.011405896;0.452158577
2.011428571;1.781785822
2.011451247;1.737078213
2.011473923;-4.305122753
2.011496599;0.470623444
2.011519274;0.389388835
2.011541950;0.312852750
2.011564626;1.325168828
2.011587302;0.100269499
2.011609977;0.098747015
2.011632653;0.097472792
2.011655329;0.096402421
2.011678005;0.095483566
2.011700680;0.094700708
2.011723356;0.094033975
2.011746032;0.093467828
2.011768707;0.092990041
2.011791383;0.092590954
2.011814059;0.092262946
2.011836735;0.092000042
2.011859410;0.091797651
2.011882086;0.091646431
2.011904762;0.091558161
2.011927438;0.091522965
2.011950113;0.091535844
2.011972789;0.091610537
2.011995465;0.091734719
2.012018141;0.091914978
2.012040816;0.092145645
2.012063492;0.092446276
2.012086168;0.092815599
2.012108844;0.093260591
2.012131519;0.093790126
2.012154195;0.094415430
2.012176871;0.095150758
2.012199546;0.096014308
2.012222222;0.097029563
2.012244898;0.098227266
2.012267574;0.099648428
2.012290249;0.101349074
2.012312925;0.103408128
2.012335601;0.105941219
2.012358277;0.109126778
2.012380952;0.113260403
2.012403628;0.118884535
2.012426304;0.127172589
2.012448980;0.141481577
2.012471655;0.185749596
2.012494331;0.951105892
2.012517007;1.001132712
2.012539683;1.017327168
2.012562358;1.027117728
2.012585034;1.034078643
2.012607710;1.039441989
2.012630385;1.043767089
2.012653061;1.047359094
2.012675737;1.050402683
2.012698413;1.053018089
2.012721088;1.055287926
2.012743764;1.057271362
2.012766440;1.059012159
2.012789116;1.060541826
2.012811791;1.061889797
2.012834467;1.063074309
2.012857143;1.064111538
2.012879819;1.065014483
2.012902494;1.065793669
2.012925170;1.066457610
2.012947846;1.067013177
2.012970522;1.067465854
2.012993197;1.067819949
2.013015873;1.068078715
2.013038549;1.068244473
2.013061224;1.068318668
2.013083900;1.068301921
2.013106576;1.068194041
2.013129252;1.067994028
2.013151927;1.067700029
2.013174603;1.067309301
2.013197279;1.066818117
2.013219955;1.066221650
2.013242630;1.065513796
2.013265306;1.064686972
2.013287982;1.063731798
2.013310658;1.062636691
2.013333333;1.061387301
2.013356009;1.059965739
2.013378685;1.058349442
2.013401361;1.056507135
2.013424036;1.054405556
2.013446712;1.051992651
2.013469388;1.049199791
2.013492063;1.045929431
2.013514739;1.042036313
2.013537415;1.037290327
2.013560091;1.031294293
2.013582766;1.023269585
2.013605442;1.011312729
2.013628118;0.988180169
2.013650794;0.611515736
2.013673469;0.156310652
2.013696145;0.133767046
2.013718821;0.122951465
2.013741497;0.116106144
2.013764172;0.111256583
2.013786848;0.107601663
2.013809524;0.104738219
2.013832200;0.102434768
2.013854875;0.100546444
2.013877551;0.098976868
2.013900227;0.097658943
2.013922902;0.096553231
2.013945578;0.095604552
2.013968254;0.094796416
2.013990930;0.094107905
2.014013605;0.093522697
2.014036281;0.093027961
2.014058957;0.092613565
2.014081633;0.092271504
2.014104308;0.091995495
2.014126984;0.091780675
2.014149660;0.091616913
2.014172336;0.091516936
2.014195011;0.091470057
2.014217687;0.091474018
2.014240363;0.091533583
2.014263039;0.091645032
2.014285714;0.091811772
2.014308390;0.092036604
2.014331066;0.092313135
2.014353741;0.092664978
2.014376417;0.093090447
2.014399093;0.093597904
2.014421769;0.094197936
2.014444444;0.094903964
2.014467120;0.095733092
2.014489796;0.096707324
2.014512472;0.097855350
2.014535147;0.099215241
2.014557823;0.100838677
2.014580499;0.102797845
2.014603175;0.105197365
2.014625850;0.108196377
2.014648526;0.112053256
2.014671202;0.117228307
2.014693878;0.124682555
2.014716553;0.136859160
2.014739229;0.165774136
2.014761905;0.845495201
2.014784580;0.994613577
2.014807256;1.014004910
2.014829932;1.024880670
2.014852608;1.032401541
2.014875283;1.038098419
2.014897959;1.042648407
2.014920635;1.046403010
2.014943311;1.049570206
2.014965986;1.052283214
2.014988662;1.054632456
2.015011338;1.056682078
2.015034014;1.058479173
2.015056689;1.060057488
2.015079365;1.061448287
2.015102041;1.062670941
2.015124717;1.063742551
2.015147392;1.064676844
2.015170068;1.065484909
2.015192744;1.066175723
2.015215420;1.066756539
2.015238095;1.067233162
2.015260771;1.067610167
2.015283447;1.067891053
2.015306122;1.068078358
2.015328798;1.068173727
2.015351474;1.068177966
2.015374150;1.068091076
2.015396825;1.067912229
2.015419501;1.067639773
2.015442177;1.067271164
2.015464853;1.066802887
2.015487528;1.066230365
2.015510204;1.065547779
2.015532880;1.064747874
2.015555556;1.063821672
2.015578231;1.062758087
2.015600907;1.061543393
2.015623583;1.060160497
2.015646259;1.058587916
2.015668934;1.056795915
2.015691610;1.054753098
2.015714286;1.052410431
2.015736961;1.049703740
2.015759637;1.046542540
2.015782313;1.042793506
2.015804989;1.038248407
2.015827664;1.032554975
2.015850340;1.025043593
2.015873016;1.014164608
