# index;voltage_out
296;-2.0523e-05
297;-2.03105e-05
298;-2.00941e-05
299;-1.9875e-05
300;-1.96542e-05
301;-1.94328e-05
302;-1.92118e-05
303;-1.89925e-05
304;-1.87758e-05
305;-1.85629e-05
306;-1.83549e-05
307;-1.81526e-05
308;-1.79572e-05
309;-1.77697e-05
310;-1.7591e-05
311;-1.7422e-05
312;-1.72636e-05
313;-1.71167e-05
314;-1.69821e-05
315;-1.68604e-05
316;-1.67517e-05
317;-1.66582e-05
318;-1.65797e-05
319;-1.65166e-05
320;-1.64695e-05
321;-1.64387e-05
322;-1.64246e-05
323;-1.64275e-05
324;-1.64475e-05
325;-1.64848e-05
326;-1.65395e-05
327;-1.66117e-05
328;-1.67011e-05
329;-1.68068e-05
330;-1.69303e-05
331;-1.70706e-05
332;-1.72272e-05
333;-1.73998e-05
334;-1.7588e-05
335;-1.77912e-05
336;-1.80089e-05
337;-1.82404e-05
338;-1.8485e-05
339;-1.87421e-05
340;-1.90107e-05
341;-1.929e-05
342;-1.95793e-05
343;-1.98775e-05
344;-2.01838e-05
345;-2.04971e-05
346;-2.08164e-05
347;-2.11407e-05
348;-2.14689e-05
349;-2.17999e-05
350;-2.21328e-05
351;-2.24663e-05
352;-2.27994e-05
353;-2.3131e-05
354;-2.34601e-05
355;-2.37854e-05
356;-2.4106e-05
357;-2.44209e-05
358;-2.47289e-05
359;-2.50291e-05
360;-2.53206e-05
361;-2.56024e-05
362;-2.58736e-05
363;-2.61333e-05
364;-2.63808e-05
365;-2.66153e-05
366;-2.6836e-05
367;-2.70424e-05
368;-2.72338e-05
369;-2.74097e-05
370;-2.75696e-05
371;-2.77131e-05
372;-2.78398e-05
373;-2.79495e-05
374;-2.80419e-05
375;-2.81176e-05
376;-2.81749e-05
377;-2.82147e-05
378;-2.82371e-05
379;-2.82421e-05
380;-2.823e-05
381;-2.8201e-05
382;-2.81554e-05
383;-2.80937e-05
384;-2.80162e-05
385;-2.79236e-05
386;-2.78163e-05
387;-2.76959e-05
388;-2.75615e-05
389;-2.74145e-05
390;-2.72557e-05
391;-2.7086e-05
392;-2.69063e-05
393;-2.67174e-05
394;-2.65203e-05
395;-2.6316e-05
396;-2.61055e-05
397;-2.58899e-05
398;-2.56702e-05
399;-2.54475e-05
400;-2.52228e-05
401;-2.49974e-05
402;-2.47721e-05
403;-2.45482e-05
404;-2.43268e-05
405;-2.41088e-05
406;-2.38955e-05
407;-2.36878e-05
408;-2.34867e-05
409;-2.32932e-05
410;-2.31084e-05
411;-2.29331e-05
412;-2.27683e-05
413;-2.26147e-05
414;-2.24733e-05
415;-2.23447e-05
416;-2.22297e-05
417;-2.21283e-05
418;-2.20424e-05
419;-2.1972e-05
420;-2.19174e-05
421;-2.18791e-05
422;-2.18575e-05
423;-2.18528e-05
424;-2.18652e-05
425;-2.1895e-05
426;-2.19421e-05
427;-2.20067e-05
428;-2.20886e-05
429;-2.2187e-05
430;-2.23032e-05
431;-2.24362e-05
432;-2.25857e-05
433;-2.27513e-05
434;-2.29326e-05
435;-2.31291e-05
436;-2.33402e-05
437;-2.35653e-05
438;-2.38038e-05
439;-2.40548e-05
